TransactionID,Date,ProductID,CustomerID,Quantity,Region,MarketingCampaign,TradeShowFlag,WeatherIndex,HolidayFlag,Revenue
TX00000,2023-01-01 00:00:00.000000000,P0034,C0231,19,North America,0,0,0.89,0,3605.25
TX00001,2023-01-01 01:45:07.830783078,P0032,C0091,10,Asia,0,0,0.97,0,1881.6
TX00002,2023-01-01 03:30:15.661566156,P0017,C0266,49,North America,0,0,0.63,0,1538.6
TX00003,2023-01-01 05:15:23.492349234,P0036,C0098,3,Asia,0,1,1.15,0,105.0
TX00004,2023-01-01 07:00:31.323132313,P0012,C0206,19,South America,0,0,0.72,0,3556.04
TX00005,2023-01-01 08:45:39.153915391,P0073,C0007,26,North America,1,0,1.33,0,2455.7
TX00006,2023-01-01 10:30:46.984698469,P0089,C0092,47,North America,0,0,1.05,1,8283.75
TX00007,2023-01-01 12:15:54.815481548,P0080,C0157,25,Asia,0,0,1.06,0,1159.5
TX00008,2023-01-01 14:01:02.646264626,P0063,C0098,17,South America,0,1,1.41,0,2794.12
TX00009,2023-01-01 15:46:10.477047704,P0000,C0224,10,North America,0,0,0.67,0,1225.9
TX00010,2023-01-01 17:31:18.307830783,P0062,C0207,46,South America,0,0,1.03,0,1883.7
TX00011,2023-01-01 19:16:26.138613861,P0088,C0072,11,South America,1,0,0.88,0,1009.03
TX00012,2023-01-01 21:01:33.969396939,P0033,C0058,11,North America,0,0,1.47,1,2016.63
TX00013,2023-01-01 22:46:41.800180018,P0009,C0286,12,Europe,1,0,1.29,0,1355.16
TX00014,2023-01-02 00:31:49.630963096,P0083,C0063,40,Asia,0,0,1.26,1,3098.0
TX00015,2023-01-02 02:16:57.461746174,P0006,C0255,48,North America,1,0,0.7,0,5085.12
TX00016,2023-01-02 04:02:05.292529252,P0055,C0047,8,South America,0,1,0.74,0,1456.48
TX00017,2023-01-02 05:47:13.123312331,P0079,C0278,24,Asia,1,0,0.53,0,601.44
TX00018,2023-01-02 07:32:20.954095409,P0036,C0197,14,North America,0,0,1.14,1,490.0
TX00019,2023-01-02 09:17:28.784878487,P0028,C0157,23,Asia,0,1,0.87,0,874.46
TX00020,2023-01-02 11:02:36.615661566,P0011,C0006,36,Asia,0,0,0.81,0,5600.52
TX00021,2023-01-02 12:47:44.446444644,P0016,C0247,17,South America,0,1,1.14,0,1844.5
TX00022,2023-01-02 14:32:52.277227722,P0047,C0231,45,Europe,0,0,1.33,0,5100.3
TX00023,2023-01-02 16:18:00.108010801,P0083,C0105,5,Europe,0,0,0.63,1,387.25
TX00024,2023-01-02 18:03:07.938793879,P0025,C0097,3,Asia,1,0,1.42,0,127.35
TX00025,2023-01-02 19:48:15.769576957,P0082,C0267,9,South America,0,0,0.53,0,919.08
TX00026,2023-01-02 21:33:23.600360036,P0011,C0059,20,South America,0,0,0.6,0,3111.4
TX00027,2023-01-02 23:18:31.431143114,P0020,C0139,20,North America,0,0,1.34,0,1160.6
TX00028,2023-01-03 01:03:39.261926192,P0041,C0189,19,Asia,0,1,0.99,0,587.1
TX00029,2023-01-03 02:48:47.092709270,P0060,C0124,21,North America,0,0,1.44,0,2877.42
TX00030,2023-01-03 04:33:54.923492349,P0057,C0162,16,South America,0,0,0.96,0,1777.12
TX00031,2023-01-03 06:19:02.754275427,P0053,C0059,33,Asia,0,0,1.43,0,3051.51
TX00032,2023-01-03 08:04:10.585058505,P0033,C0030,5,Europe,0,0,0.74,0,916.65
TX00033,2023-01-03 09:49:18.415841584,P0006,C0075,24,Europe,0,0,1.12,0,2542.56
